episode_id,instruction,run_id,runtime,sim_step_count,task_percent_complete,task_state_success
3,Bring bread to the dining table. Move toy vehicle to the dining table. Move candle to the dining table? Move plant container to the bedroom stand. Move credit card to the bedroom stand.,0,35.606348276138306,1284.0,1.0,1.0
0,"Help me clean up the toys in bedroom. Place all the toy food, pencil case, file sorter, and toy vehicle on the table.",0,38.72107815742493,1314.0,1.0,1.0
807,Move the sponge and hammer to the living room.,0,23.958707332611084,908.0,1.0,1.0
1191,"Help me move teapots, plates, and picture frame from the kitchen to the dining room.",0,30.774484395980835,1011.0,1.0,1.0
221,"Bring the plant, plant saucer, and clock from the bedroom to the living room.",0,24.169179439544678,769.0,1.0,1.0
15,"Please bring the toy vehicles and toy food from the bedroom to the living room and place them on the tables. Also, bring the pencil case from the bedroom to the living room.",0,55.92695617675781,1769.0,1.0,1.0
34,"Move the candle, book, lamp, and sponge from the chest of drawers in bedroom to the table in bedroom ?",0,29.399603605270386,1106.0,1.0,1.0
37,"Help me create a fun activity area in the living room. Place a baseball bat, a toy pineapple, and a tennis racquet on the coffee table.",0,32.4864399433136,1203.0,1.0,1.0
801,Move the bowl and can from the bedroom to the dining room table?,0,16.486910343170166,650.0,1.0,1.0
36,"Move the bowl, plant, and spoon from the living room to the dining room and place them on the table.",0,16.07613468170166,575.0,1.0,1.0
46,"Place the candle, candle holder, toy vehicle, squeezer, and egg on the living room table?",0,42.67741012573242,1341.0,1.0,1.0
754,Bring me the bottle from the kitchen to the laundryroom/mudroom.,0,3.3450722694396973,160.0,1.0,1.0
747,Move the monitor stand from the office to the living room and place it on the table.,0,10.537747144699097,450.0,1.0,1.0
748,Help me move my laptop stand and plant saucer from the lounge to the living room. Place the laptop stand on the table and the plant saucer on the stand.,0,4.93955135345459,198.0,1.0,1.0
1136,Bring two stuffed toys to the chair.,0,6.6547322273254395,312.0,1.0,1.0
749,"Move the book, casserole, and can opener from the living room to the lounge?",0,9.083678007125854,382.0,1.0,1.0
745,Help me move the toy swing and android figure from the table to the stand in the lounge.,0,10.420634269714355,460.0,1.0,1.0
746,Bring the monitor stand from the office to the lounge and place it on the table.,0,10.058218479156494,425.0,1.0,1.0
753,Move the book to the new bench in the bedroom.,0,2.7629289627075195,126.0,1.0,1.0
752,Bring me the toy swing from the bedroom to the living room.,0,12.747854948043823,562.0,1.0,1.0
751,Move the toy animal and hand towel from the bedroom to the office.,0,12.070383071899414,534.0,1.0,1.0
755,Move the laptop stand and multiport hub from the bedroom and office to the living room table.,0,12.606098651885986,524.0,1.0,1.0
750,"Put the bottle on the couch. Then, move the clock to the living room table.",0,4.594912052154541,188.0,1.0,1.0
1137,"Help me move the toy airplane, cake pan, android figure, and keychain from the office to the living room bench.",0,18.717029809951782,735.0,1.0,1.0
534,Move a toy pineapple from the kitchen to the dining room.,0,14.385708093643188,551.0,1.0,1.0
529,"Decorate the living room. Place the gaming console, picture frame, candle, and vase on the shelves in the dining room?",0,41.089972257614136,1397.0,1.0,1.0
528,"Help me tidy up the house. Put the candle, multiport hub, scissors, and bowl on the hallway table?",0,37.18973088264465,1230.0,1.0,1.0
530,"Help me tidy up the dining room and bedroom. Place the book on the dining table. Also, put the casserole on the dining room shelves and the folder on the bedroom table.",0,16.47483992576599,553.0,1.0,1.0
532,Move the candle and bowl from the living room to the hallway?,0,4.857532024383545,154.0,1.0,1.0
527,"Rearrange the dining room to make it cozy for reading. Move the book, lamp, picture frame, and vase to the living room shelves.",0,45.85850548744202,1492.0,1.0,1.0
533,"Move the gaming console, picture frame, multiport hub, and toy swing from the living room to the bedroom.",0,40.82595896720886,1364.0,1.0,1.0
535,Put the gaming console on the living room table. Put the scissors on the living room table. Put the lamp on the living room table.,0,17.43354868888855,573.0,1.0,1.0
531,Add scissors to the table in the bedroom.,0,12.330933094024658,471.0,1.0,1.0
525,Bring two folders to a table in the living room.,0,11.063244819641113,365.0,1.0,1.0
862,"Help me move handbags, plant saucers, and soap dispenser from the laundryroom/mudroom to the toilet.",0,14.61870265007019,649.0,1.0,1.0
601,Move the bowl from the living room table to the kitchen fridge.,0,6.827041149139404,346.0,1.0,1.0
596,Help me move these items from the living room to the bedroom. Place the toy airplane on the chair and the toy vehicle on the bed.,0,9.419793128967285,458.0,1.0,1.0
595,Move the toy bee to the new cabinet in the kitchen.,0,9.97664189338684,558.0,1.0,1.0
600,Bring me the hand towel from the kitchen to the bedroom.,0,10.561738967895508,577.0,1.0,1.0
992,"Help me set the dining table for people. Place lunch box, vase, and spoon at each setting, and make sure to place them next to each other.",0,58.056809186935425,2289.0,1.0,1.0
592,"Help me tidy up the kitchen. Place the toy airplane on the living room table. Also, put the casserole and the sushi mat on the living room table.",0,14.137625694274902,583.0,1.0,1.0
599,Move the toy vehicle and toy construction set from the kitchen to the living room.,0,11.129784345626831,495.0,1.0,1.0
591,Move 1 book and 1 lamp from the living room table to the kitchen.,0,14.950189590454102,783.0,1.0,1.0
594,Move the toy airplane from the table in the living room to the chair in the bedroom.,0,5.281188726425171,292.0,1.0,1.0
593,Bring the shoe and clock from the living room to the kitchen and place them on the fridge.,0,7.697447776794434,330.0,1.0,1.0
598,Help me move backpack and handbag from the cabinet to the table in the kitchen.,0,6.788835763931274,276.0,1.0,1.0
597,Take the lamp from the living room to the kitchen and put it on the cabinet.,0,6.015380382537842,323.0,1.0,1.0
989,Help me move the laptop stand and multiport hub from the bedroom to the living room.,0,10.12791919708252,508.0,1.0,1.0
108,"Bring the toy vehicle, toy food, and stuffed toy from the bedroom to the living room and place them on the coffee table.",0,24.69988179206848,627.0,1.0,1.0
265,"Help me move these objects from their current locations to the specified locations. Move the lamp vase, and ramekin to any living room table.",0,10.970166206359863,260.0,1.0,1.0
119,"Help me prepare a dinner table for people in the dining room. Place a spatula, c-clamp, and candle on the table? Also, bring a hand towel and an apple to the table.",0,61.43982434272766,1576.0,1.0,1.0
288,Place the spatula on the foyer counter.,0,18.462549209594727,495.0,1.0,1.0
88,"Move the electronic cable, sushi mat, and toy pineapple from the living room to the bedroom. Place the electronic cable on the table and the sushi mat and toy pineapple on the tables.",0,41.313849687576294,1020.0,1.0,1.0
822,"Please put the folder on another table in the living room, and put the can on the kitchen counter? Also, can you put the action figure in another chest of drawers in the bedroom and put the gaming console on the toilet?",0,45.13288855552673,1089.0,0.75,0.0
116,"Please put the lamp, spoon, fork, and knife on another table.",0,26.993372678756714,644.0,1.0,1.0
235,"Help me rearrange the living room. Move the lap, laptop stand, ramekin, and vase on the same living room table.",0,29.86734962463379,744.0,1.0,1.0
98,Move the lamp and vase from the living room table to the dining room table.,0,14.534367799758911,358.0,1.0,1.0
1211,"Help me prepare for a party in the living room. Place a vase, candle, and picture frame on a living room. Make sure each item of a kind is placed at a different table!",0,65.38259029388428,1424.0,0.25,0.0
137,"Help me rearrange the living room. Move the lamp, vase, and ramekin to a new table in the living room.",0,15.72414779663086,380.0,1.0,1.0
140,Help me prepare dinner. Place the spatula and c-clamp inside the kitchen cabinet.,0,10.02558422088623,246.0,1.0,1.0
93,"Help me move the apple, phone, and spatula from the kitchen counter to the living room table.",0,41.71412706375122,1033.0,1.0,1.0
117,"Move the lamp, vase, and ramekin from the living room to the bedroom. Move the laptop from the living room to the bedroom.",0,35.61202335357666,945.0,1.0,1.0
586,"Move the doll, stuffed toy, and toy swing from the bedroom and place them on the washer dryer.",0,13.552993059158325,521.0,1.0,1.0
588,Move the laptop cover and mouse pad from the bedroom to the living room. Place the laptop cover on the table and the mouse pad on the shelf.,0,10.869767904281616,456.0,1.0,1.0
585,"Bring the bottle, can, and casserole from the kitchen to the entryway and place them on the stool?",0,20.622550010681152,810.0,1.0,1.0
979,Swap the positions of the kettle and electric kettle between the counter and the cabinet in the kitchen.,0,5.543144464492798,223.0,1.0,1.0
587,Take the cushion and hand towel from the living room and entryway and put them on the bed in bedroom.,0,8.512665271759033,313.0,1.0,1.0
589,Help me rearrange the entryway. Place the bottle and shoe on the couch.,0,9.927335739135742,375.0,1.0,1.0
590,"Move the jug, plate, cup, and bowl from the kitchen cabinet to the bedroom chest of drawers.",0,39.53559494018555,1214.0,0.75,0.0
580,Bring two glasses to the shower.,0,7.040199518203735,274.0,1.0,1.0
581,"Help me set up a breakfast area. Place a jug, tray, can, and electric kettle on the bedroom table?",0,21.39435052871704,799.0,1.0,1.0
582,Move the casserole to another chair and the tray to the counter in the kitchen.,0,4.747653961181641,166.0,1.0,1.0
584,Move the candle and lamp from the bed and chest of drawers to the table in the bedroom?,0,17.15149450302124,261.0,0.5,0.0
583,Move the lunch box and bottle from the kitchen cabinet and counter to the living room table.,0,6.137662410736084,234.0,1.0,1.0
655,Move the toy animal to the new table in the office.,0,23.19058322906494,706.0,1.0,1.0
653,Move the box and toy vehicle from the tv room to the bedroom.,0,17.737693309783936,545.0,1.0,1.0
651,Move the monitor stand from the office to the bedroom.,0,20.19083881378174,683.0,1.0,1.0
649,Move the toy airplane and toy vehicle to the other bedroom.,0,20.853919982910156,611.0,0.5,0.0
650,Move the bowl from the kitchen counter to the bedroom chest of drawers.,0,14.367377281188965,482.0,1.0,1.0
646,Move the book and cushion to the table in the tv room. Leave the other objects as they are.,0,11.579566717147827,328.0,1.0,1.0
656,Move the toy construction set and toy bee from the kitchen and bedroom to the office. Place the toy construction set on the table and the toy bee on the chair.,0,20.206061840057373,610.0,1.0,1.0
647,"Help me move things around. Place the gaming console on the TV couch, the cushion on the kitchen counter the spicemill on the dining table, and the plant saucer on the tv stand.",0,21.755979537963867,638.0,1.0,1.0
654,Move the book to the new table in the bedroom.,0,16.570995092391968,577.0,1.0,1.0
1042,"Bring toy vehicles, toy airplane, and toy bee from the bedroom to the same table in the office.",0,61.52871012687683,1792.0,1.0,1.0
652,Move the toy airplane on the table in the bedroom to the dining room.,0,14.862107753753662,505.0,1.0,1.0
548,Move the toy swing from the living room to the bedroom.,0,19.077495336532593,828.0,1.0,1.0
555,Move the candle holder to the new couch in the living room?,0,7.074058532714844,265.0,1.0,1.0
437,Move the tray and ingredients (bottle and can) to the kitchen counter? I will clean the oven so we can cook with it next.,0,17.569908142089844,619.0,1.0,1.0
550,Move the clock and action figure from the living room to the dining room.,0,14.317432880401611,521.0,1.0,1.0
557,Move the file sorter and c-clamp from the office table and hallway table to the living room couch.,0,16.77466130256653,596.0,1.0,1.0
944,"Help me move teapots, kettles, and candle from the kitchen to the dining room table?",0,22.87881374359131,807.0,1.0,1.0
554,Move the toy airplane and toy vehicle from the hallway to the living room.,0,10.626721382141113,400.0,1.0,1.0
549,Move the backpack and spectacles to the hallway table.,0,19.1551775932312,699.0,1.0,1.0
553,Place the toy swing on the candle holder on the table in the office?,0,14.09900426864624,569.0,1.0,1.0
556,Move the candle holder from the shelves in the hallway to the table in the hallway?,0,6.988936424255371,288.0,1.0,1.0
552,Help me move the stuffed toy from the living room to the bedroom and place it on the bed.,0,14.139806747436523,550.0,1.0,1.0
547,Bring me the folder from the living room to the office.,0,11.251276969909668,445.0,1.0,1.0
551,Move the shoe from the kitchen to the bedroom.,0,14.17934513092041,601.0,1.0,1.0
77,Move the cushion and plant from the living room couch to the other living room couch.,0,11.483377933502197,443.0,1.0,1.0
70,"Help me move the cup and the laptop to the counter, please.",0,11.78467345237732,432.0,1.0,1.0
79,Move the plant to a different chest of drawers in the bedroom.,0,18.223502159118652,734.0,1.0,1.0
62,Help me move the two toy animals from the chest of drawers to stools in the kitchen.,0,23.62743353843689,817.0,1.0,1.0
76,Place the hat on the counter and the bottle in the kitchen fridge.,0,12.5688796043396,433.0,0.5,0.0
467,"Help me clean up the bedroom. Put the picture frames on a new bed, the candle holders on a new bed and the trays and bowls in a new chest of drawers?",0,61.59637451171875,1584.0,1.0,1.0
64,Let's get the toys out to play with. Put the toy animals and toy food on the bed.,0,32.478955030441284,1115.0,1.0,1.0
460,Bring me the monitor stand from the kitchen to the bedroom.,0,20.001195192337036,865.0,1.0,1.0
171,Does a boat still float if its frozen? Let's put the toy vehicle in the freezer and find out.,0,16.736188173294067,661.0,1.0,1.0
176,Move the plant to the other chest of drawers in that bedroom.,0,7.036198139190674,279.0,1.0,1.0
75,Put the toy fire truck and toy airplane inside kitchen cabinets.,0,17.548266410827637,566.0,1.0,1.0
81,Help me tidy up the living room. Put the picture and cusion on the table that has the laptop.,0,12.98183274269104,461.0,1.0,1.0
