episode_id,instruction,replanning_count_0,replanning_count_1,run_id,runtime,sim_step_count,task_percent_complete,task_state_success
1824,"Move the jug, kettle, teapot, and cup from the dining booth table to the kitchen, fill the kettle and teapot with water, and turn on the kettle. Then, clean the dining booth table, place the cup on the table and put the jug on the cabinet.",31.0,18.0,0,413.4410409927368,1520.0,0.7,0.0
1768,"Put the vase, plant container, and plant saucer to the other living room. Then, clean each object and clean the table. Finally arrange the objects back on the original table after cleaning.",26.0,27.0,0,539.3666005134583,6107.0,0.2,0.0
1883,"Place the kettle on the counter in the kitchen, then fill the kettle with water and turn it on. Next, move the jug from the dining table to the kitchen and fill it with water. Finally, clean the dining table.",51.0,17.0,0,946.9881136417389,13094.0,0.0,0.0
1769,"Put the lamp, candle holder, and vase to the other living room. Then, turn on the lamp and clean each object. Finally arrange the objects back to the original the living room table after cleaning.",34.0,10.0,0,484.02661895751953,6278.0,0.4,0.0
1942,"Move the kettle, teapot, cup, and jug from the dining room table to the kitchen. Then fill the kettle with water, turn on the lamp, clean the dining room table, and turn off the lamp. Finally, move the kettle back to the dining room room, place the cup on the dining room table, put the jug on the shelves, and turn on the lamp again.",51.0,51.0,0,1193.8620657920837,10301.0,0.25,0.0
1825,"Move the jug, kettle, teapot, and cup from the dining booth table to the kitchen, fill the kettle and teapot with water, and turn on the kettle. Then, clean the dining booth table, place the cup on the table and put the jug on the cabinet. Finally, turn off the kettle.",51.0,34.0,0,805.3446877002716,3475.0,0.6363636363636364,0.0
1826,"Move the jug, kettle, teapot, and cup from the dining table to the kitchen, fill the kettle and teapot with water, and turn on the kettle. Then, clean the dining table, place the cup on the table and put the jug on the cabinet. Finally, turn off the kettle and wash the cup.",37.0,38.0,0,799.3220415115356,8008.0,0.3333333333333333,0.0
1743,"Clean the living room. Move the vase, stuffed toy, and cup from the table to the kitchen counter. Fill the vase with water and clean the living room table. Then, turn on the lamp and arrange the vase, stuffed toy, and cup back on the table after cleaning.",34.0,51.0,0,1004.1748058795929,9204.0,0.3333333333333333,0.0
1772,"Move the kettle and cup from the living room table to the kitchen table, fill the kettle with water and turn it on. Then, move the jug from the dining table to the kitchen table and fill it with water. After that, place the cup on the kitchen table next to the kettle and clean the living room table.",44.0,51.0,0,824.6655695438385,4481.0,0.2857142857142857,0.0
1888,"Place the bottle on the counter in the kitchen counter, then fill the bottle with water. Next, move the glass from the dining table to the kitchen and place it on the kitchen counter. Finally, clean the kitchen counter.",21.0,13.0,0,384.205424785614,2986.0,1.0,1.0
1941,"Move the kettle, teapot, cup, and jug from the dining toom table to the kitchen. Then fill the kettle with water, turn on the lamp, clean the dining room table, and turn off the lamp. Finally, move the kettle back to the dining room, place the cup on the table, and put the jug on the shelves.",51.0,47.0,0,1000.914680480957,7539.0,0.18181818181818182,0.0
