channel,index,c0_full_signature,expected_primitive_kinds,route_primitive_kinds,unit_multiset_agreement,unit_multiset_f1,order_agreement,order_lcs_ratio,scorable_subgoals,retrieval_hits,retrieval_hit_rate,all_subgoals_retrieval_hit,route_correct,skill_success,flat_success
instance,1,"{""object_count"":1,""ordered_units"":[""fetch(tomato)"",""relocate(tomato,sink)"",""state_change(interact,sink)"",""fetch(tomato)"",""check_then_act(sink,tomato)"",""relocate(tomato,plate)""],""plan_length"":11}","[""fetch"",""relocate"",""state_change"",""fetch"",""relocate""]","[""fetch"",""state_change"",""relocate""]",False,0.75,False,0.6,3,0,0.0,False,False,False,False
instance,13,"{""object_count"":2,""ordered_units"":[""state_change(open,cabinet)"",""fetch(bowl)"",""relocate(bowl,kitchen work area)"",""fetch(tomato)"",""open_container_then_retrieve(cabinet,tomato)"",""relocate(tomato,bowl)"",""multi_object_sequence(2)""],""plan_length"":8}","[""state_change"",""fetch"",""relocate"",""fetch"",""relocate""]","[""fetch"",""relocate"",""fetch"",""relocate""]",False,0.8888888888888888,False,0.8,4,2,0.5,False,False,False,False
instance,18,"{""object_count"":1,""ordered_units"":[""fetch(pear)"",""relocate(pear,sink)"",""state_change(interact,sink)"",""fetch(pear)"",""check_then_act(sink,pear)"",""relocate(pear,bowl)""],""plan_length"":11}","[""fetch"",""relocate"",""state_change"",""fetch"",""relocate""]","[""fetch"",""state_change"",""relocate""]",False,0.75,False,0.6,3,0,0.0,False,False,False,False
instance,20,"{""object_count"":2,""ordered_units"":[""state_change(open,cabinet)"",""fetch(tomato)"",""relocate(tomato,table)"",""fetch(peach)"",""open_container_then_retrieve(cabinet,peach)"",""relocate(peach,table)"",""multi_object_sequence(2)""],""plan_length"":8}","[""state_change"",""fetch"",""relocate"",""fetch"",""relocate""]","[""state_change"",""state_change"",""relocate"",""relocate""]",False,0.6666666666666666,False,0.6,4,1,0.25,False,False,False,False
instance,29,"{""object_count"":1,""ordered_units"":[""fetch(peach)"",""relocate(peach,sink)"",""state_change(interact,sink)"",""fetch(peach)"",""check_then_act(sink,peach)"",""relocate(peach,bowl)""],""plan_length"":11}","[""fetch"",""relocate"",""state_change"",""fetch"",""relocate""]","[""fetch"",""relocate""]",False,0.5714285714285714,False,0.4,2,0,0.0,False,False,False,False
instance,33,"{""object_count"":1,""ordered_units"":[""state_change(open,cabinet)"",""fetch(bread)"",""open_container_then_retrieve(cabinet,bread)"",""relocate(bread,bowl)""],""plan_length"":8}","[""state_change"",""fetch"",""relocate""]","[""fetch"",""fetch"",""fetch"",""fetch"",""fetch"",""relocate""]",False,0.4444444444444444,False,0.6666666666666666,6,3,0.5,False,False,False,False
instance,40,"{""object_count"":2,""ordered_units"":[""fetch(knife)"",""fetch(peach)"",""fetch(tomato)"",""relocate(peach,wooden cutting board)"",""relocate(tomato,wooden cutting board)"",""state_change(interact,knife)"",""multi_object_sequence(2)""],""plan_length"":9}","[""fetch"",""fetch"",""fetch"",""relocate"",""relocate"",""state_change""]","[""fetch"",""relocate"",""fetch"",""relocate"",""fetch"",""state_change"",""state_change""]",False,0.9230769230769231,False,0.6666666666666666,7,0,0.0,False,False,False,False
instance,41,"{""object_count"":2,""ordered_units"":[""fetch(tomato)"",""fetch(green peas)"",""relocate(tomato,bowl)"",""relocate(green peas,bowl)"",""multi_object_sequence(2)""],""plan_length"":8}","[""fetch"",""fetch"",""relocate"",""relocate""]","[""fetch"",""fetch"",""fetch"",""relocate"",""relocate""]",False,0.8888888888888888,False,1.0,5,0,0.0,False,False,False,False
instance,42,"{""object_count"":1,""ordered_units"":[""state_change(push,cardboardbox,R2)"",""fetch(meat)"",""relocate(meat,cardboardbox)"",""state_change(push,cardboardbox,R3)"",""fetch(meat)"",""relocate(meat,sink)""],""plan_length"":7}","[""state_change"",""fetch"",""relocate"",""state_change"",""fetch"",""relocate""]","[""fetch"",""state_change"",""relocate"",""relocate"",""fetch""]",False,0.9090909090909091,False,0.5,5,1,0.2,False,False,False,False
instance,45,"{""object_count"":1,""ordered_units"":[""fetch(peach)"",""relocate(peach,sink)"",""state_change(interact,sink)"",""fetch(peach)"",""check_then_act(sink,peach)"",""relocate(peach,bowl)""],""plan_length"":11}","[""fetch"",""relocate"",""state_change"",""fetch"",""relocate""]","[""fetch"",""relocate""]",False,0.5714285714285714,False,0.4,2,0,0.0,False,False,False,False
instance,47,"{""object_count"":2,""ordered_units"":[""fetch(peach)"",""fetch(knife)"",""fetch(bread)"",""relocate(peach,wooden cutting board)"",""relocate(bread,wooden cutting board)"",""state_change(interact,knife)"",""multi_object_sequence(2)""],""plan_length"":9}","[""fetch"",""fetch"",""fetch"",""relocate"",""relocate"",""state_change""]","[""relocate"",""relocate""]",False,0.5,False,0.3333333333333333,2,0,0.0,False,False,False,False
instance,49,"{""object_count"":2,""ordered_units"":[""fetch(apple)"",""fetch(pear)"",""relocate(apple,bowl)"",""relocate(pear,bowl)"",""multi_object_sequence(2)""],""plan_length"":8}","[""fetch"",""fetch"",""relocate"",""relocate""]","[""fetch"",""relocate"",""fetch"",""relocate""]",True,1.0,False,0.75,4,0,0.0,False,False,False,False
instance,51,"{""object_count"":1,""ordered_units"":[""fetch(pear)"",""relocate(pear,kitchen work area)""],""plan_length"":5}","[""fetch"",""relocate""]","[""fetch"",""relocate""]",True,1.0,True,1.0,2,0,0.0,False,False,False,False
instance,52,"{""object_count"":2,""ordered_units"":[""fetch(knife)"",""fetch(apple)"",""state_change(open,cabinet)"",""relocate(knife,cabinet)"",""relocate(apple,cabinet)"",""multi_object_sequence(2)""],""plan_length"":7}","[""fetch"",""fetch"",""state_change"",""relocate"",""relocate""]","[""fetch"",""relocate"",""fetch"",""relocate""]",False,0.8888888888888888,False,0.6,4,0,0.0,False,False,False,False
instance,53,"{""object_count"":2,""ordered_units"":[""fetch(bowl)"",""state_change(open,cabinet)"",""relocate(bowl,kitchen work area)"",""fetch(apple)"",""open_container_then_retrieve(cabinet,apple)"",""relocate(apple,bowl)"",""multi_object_sequence(2)""],""plan_length"":8}","[""fetch"",""state_change"",""relocate"",""fetch"",""relocate""]","[""fetch"",""relocate"",""fetch"",""relocate""]",False,0.8888888888888888,False,0.8,4,3,0.75,False,False,False,False
